team_name,car_engine,no_of_drivers,highest_laps,total_laps,points,raceid,year,round,name,date,total_matches_win,grid,positionorder,laps,milliseconds,pitstop,status,team_no_of_wins
BMW Sauber,BMW Sauber,2,56,7938,8,19,2008,2,Malaysian Grand Prix,23-03-2008,1,4,2,56,5498125,0,Finished,1
McLaren,McLaren,2,56,97845,6,19,2008,2,Malaysian Grand Prix,23-03-2008,1,8,3,56,5517005,0,Finished,185
Toyota,Toyota,2,56,14363,5,19,2008,2,Malaysian Grand Prix,23-03-2008,1,3,4,56,5524387,0,Finished,0
McLaren,McLaren,2,56,97845,4,19,2008,2,Malaysian Grand Prix,23-03-2008,105,9,5,56,5525103,0,Finished,185
BMW Sauber,BMW Sauber,2,56,7938,3,19,2008,2,Malaysian Grand Prix,23-03-2008,0,5,6,56,5528388,0,Finished,1
Red Bull,Red Bull,2,56,42076,2,19,2008,2,Malaysian Grand Prix,23-03-2008,9,6,7,56,5546685,0,Finished,122
Renault,Renault,2,56,38339,1,19,2008,2,Malaysian Grand Prix,23-03-2008,32,7,8,56,5548596,0,Finished,35
Red Bull,Red Bull,2,56,42076,0,19,2008,2,Malaysian Grand Prix,23-03-2008,13,12,9,56,5554775,0,Finished,122
Honda,Honda,2,56,7681,0,19,2008,2,Malaysian Grand Prix,23-03-2008,15,11,10,56,5564769,0,Finished,3
Renault,Renault,2,56,38339,0,19,2008,2,Malaysian Grand Prix,23-03-2008,0,13,11,56,5570757,0,Finished,35
Force India,Force India,2,56,22035,0,19,2008,2,Malaysian Grand Prix,23-03-2008,3,17,12,55,,0,+1 Lap,0
Honda,Honda,2,56,7681,0,19,2008,2,Malaysian Grand Prix,23-03-2008,11,14,13,55,,0,+1 Lap,3
Williams,Williams,2,56,85881,0,19,2008,2,Malaysian Grand Prix,23-03-2008,23,16,14,55,,0,+1 Lap,114
Super Aguri,Super Aguri,2,56,3569,0,19,2008,2,Malaysian Grand Prix,23-03-2008,0,21,15,55,,0,+1 Lap,0
Super Aguri,Super Aguri,2,56,3569,0,19,2008,2,Malaysian Grand Prix,23-03-2008,0,19,16,54,,0,+2 Laps,0
Williams,Williams,2,56,85881,0,19,2008,2,Malaysian Grand Prix,23-03-2008,0,22,17,54,,0,+2 Laps,114
Toro Rosso,Toro Rosso,2,56,26973,0,19,2008,2,Malaysian Grand Prix,23-03-2008,53,15,18,39,,0,Engine,1
Ferrari,Ferrari,2,56,126025,0,19,2008,2,Malaysian Grand Prix,23-03-2008,11,1,19,30,,0,Spun off,249
Force India,Force India,2,56,22035,0,19,2008,2,Malaysian Grand Prix,23-03-2008,0,20,20,5,,0,Hydraulics,0
Toyota,Toyota,2,56,14363,0,19,2008,2,Malaysian Grand Prix,23-03-2008,0,10,21,1,,0,Collision,0
Toro Rosso,Toro Rosso,2,56,26973,0,19,2008,2,Malaysian Grand Prix,23-03-2008,0,18,22,0,,0,Spun off,1
Ferrari,Ferrari,2,57,126025,10,20,2008,3,Bahrain Grand Prix,06-04-2008,11,2,1,57,5466970,0,Finished,249
Ferrari,Ferrari,2,57,126025,8,20,2008,3,Bahrain Grand Prix,06-04-2008,21,4,2,57,5470309,0,Finished,249
BMW Sauber,BMW Sauber,2,57,7938,6,20,2008,3,Bahrain Grand Prix,06-04-2008,1,1,3,57,5471968,0,Finished,1
BMW Sauber,BMW Sauber,2,57,7938,5,20,2008,3,Bahrain Grand Prix,06-04-2008,0,6,4,57,5475379,0,Finished,1
McLaren,McLaren,2,57,97845,4,20,2008,3,Bahrain Grand Prix,06-04-2008,1,5,5,57,5493759,0,Finished,185
Toyota,Toyota,2,57,14363,3,20,2008,3,Bahrain Grand Prix,06-04-2008,1,7,6,57,5508284,0,Finished,0
Red Bull,Red Bull,2,57,42076,2,20,2008,3,Bahrain Grand Prix,06-04-2008,9,11,7,57,5512443,0,Finished,122
Williams,Williams,2,57,85881,1,20,2008,3,Bahrain Grand Prix,06-04-2008,23,8,8,57,5522859,0,Finished,114
Toyota,Toyota,2,57,14363,0,20,2008,3,Bahrain Grand Prix,06-04-2008,0,13,9,57,5536470,0,Finished,0
Renault,Renault,2,57,38339,0,20,2008,3,Bahrain Grand Prix,06-04-2008,32,10,10,57,5544151,0,Finished,35
Honda,Honda,2,57,7681,0,20,2008,3,Bahrain Grand Prix,06-04-2008,11,12,11,57,5544832,0,Finished,3
Force India,Force India,2,57,22035,0,20,2008,3,Bahrain Grand Prix,06-04-2008,3,18,12,56,,0,+1 Lap,0
McLaren,McLaren,2,57,97845,0,20,2008,3,Bahrain Grand Prix,06-04-2008,105,3,13,56,,0,+1 Lap,185
Williams,Williams,2,57,85881,0,20,2008,3,Bahrain Grand Prix,06-04-2008,0,16,14,56,,0,+1 Lap,114
Toro Rosso,Toro Rosso,2,57,26973,0,20,2008,3,Bahrain Grand Prix,06-04-2008,0,15,15,56,,0,+1 Lap,1
Super Aguri,Super Aguri,2,57,3569,0,20,2008,3,Bahrain Grand Prix,06-04-2008,0,21,16,56,,0,+1 Lap,0
Super Aguri,Super Aguri,2,57,3569,0,20,2008,3,Bahrain Grand Prix,06-04-2008,0,22,17,56,,0,+1 Lap,0
Red Bull,Red Bull,2,57,42076,0,20,2008,3,Bahrain Grand Prix,06-04-2008,13,17,18,56,,0,+1 Lap,122
Force India,Force India,2,57,22035,0,20,2008,3,Bahrain Grand Prix,06-04-2008,0,20,19,56,,0,+2 Laps,0
Renault,Renault,2,57,38339,0,20,2008,3,Bahrain Grand Prix,06-04-2008,0,14,20,40,,0,Gearbox,35
Honda,Honda,2,57,7681,0,20,2008,3,Bahrain Grand Prix,06-04-2008,15,9,21,19,,0,Collision,3
Toro Rosso,Toro Rosso,2,57,26973,0,20,2008,3,Bahrain Grand Prix,06-04-2008,53,19,22,0,,0,Engine,1
Ferrari,Ferrari,2,66,126025,10,21,2008,4,Spanish Grand Prix,27-04-2008,21,1,1,66,5899051,0,Finished,249
Ferrari,Ferrari,2,66,126025,8,21,2008,4,Spanish Grand Prix,27-04-2008,11,3,2,66,5902279,0,Finished,249
McLaren,McLaren,2,66,97845,6,21,2008,4,Spanish Grand Prix,27-04-2008,105,5,3,66,5903238,0,Finished,185
BMW Sauber,BMW Sauber,2,66,7938,5,21,2008,4,Spanish Grand Prix,27-04-2008,1,4,4,66,5904745,0,Finished,1
Red Bull,Red Bull,2,66,42076,4,21,2008,4,Spanish Grand Prix,27-04-2008,9,7,5,66,5934989,0,Finished,122
Honda,Honda,2,66,7681,3,21,2008,4,Spanish Grand Prix,27-04-2008,15,13,6,66,5952061,0,Finished,3
Williams,Williams,2,66,85881,2,21,2008,4,Spanish Grand Prix,27-04-2008,0,12,7,66,5957295,0,Finished,114
Toyota,Toyota,2,66,14363,1,21,2008,4,Spanish Grand Prix,27-04-2008,1,8,8,66,5958486,0,Finished,0
BMW Sauber,BMW Sauber,2,66,7938,0,21,2008,4,Spanish Grand Prix,27-04-2008,0,9,9,66,5962124,0,Finished,1
Force India,Force India,2,66,22035,0,21,2008,4,Spanish Grand Prix,27-04-2008,3,19,10,65,,0,+1 Lap,0
Toyota,Toyota,2,66,14363,0,21,2008,4,Spanish Grand Prix,27-04-2008,0,14,11,65,,0,+1 Lap,0
Red Bull,Red Bull,2,66,42076,0,21,2008,4,Spanish Grand Prix,27-04-2008,13,17,12,65,,0,+1 Lap,122
Super Aguri,Super Aguri,2,66,3569,0,21,2008,4,Spanish Grand Prix,27-04-2008,0,22,13,65,,0,+1 Lap,0
Williams,Williams,2,66,85881,0,21,2008,4,Spanish Grand Prix,27-04-2008,23,15,14,41,,0,Engine,114
Renault,Renault,2,66,38339,0,21,2008,4,Spanish Grand Prix,27-04-2008,32,2,15,34,,0,Engine,35
Honda,Honda,2,66,7681,0,21,2008,4,Spanish Grand Prix,27-04-2008,11,11,16,34,,0,Collision,3
McLaren,McLaren,2,66,97845,0,21,2008,4,Spanish Grand Prix,27-04-2008,1,6,17,21,,0,Accident,185
Super Aguri,Super Aguri,2,66,3569,0,21,2008,4,Spanish Grand Prix,27-04-2008,0,21,18,8,,0,Radiator,0
Toro Rosso,Toro Rosso,2,66,26973,0,21,2008,4,Spanish Grand Prix,27-04-2008,0,16,19,7,,0,Collision,1
Renault,Renault,2,66,38339,0,21,2008,4,Spanish Grand Prix,27-04-2008,0,10,20,6,,0,Collision,35
Force India,Force India,2,66,22035,0,21,2008,4,Spanish Grand Prix,27-04-2008,0,20,21,0,,0,Collision,0
Toro Rosso,Toro Rosso,2,66,26973,0,21,2008,4,Spanish Grand Prix,27-04-2008,53,18,22,0,,0,Collision,1
Ferrari,Ferrari,2,58,126025,10,22,2008,5,Turkish Grand Prix,11-05-2008,11,1,1,58,5209451,0,Finished,249
McLaren,McLaren,2,58,97845,8,22,2008,5,Turkish Grand Prix,11-05-2008,105,3,2,58,5213230,0,Finished,185
Ferrari,Ferrari,2,58,126025,6,22,2008,5,Turkish Grand Prix,11-05-2008,21,4,3,58,5213722,0,Finished,249
BMW Sauber,BMW Sauber,2,58,7938,5,22,2008,5,Turkish Grand Prix,11-05-2008,1,5,4,58,5231396,0,Finished,1
BMW Sauber,BMW Sauber,2,58,7938,4,22,2008,5,Turkish Grand Prix,11-05-2008,0,9,5,58,5248192,0,Finished,1
Renault,Renault,2,58,38339,3,22,2008,5,Turkish Grand Prix,11-05-2008,32,7,6,58,5263175,0,Finished,35
Red Bull,Red Bull,2,58,42076,2,22,2008,5,Turkish Grand Prix,11-05-2008,9,6,7,58,5273680,0,Finished,122
Williams,Williams,2,58,85881,1,22,2008,5,Turkish Grand Prix,11-05-2008,23,11,8,58,5280857,0,Finished,114
Red Bull,Red Bull,2,58,42076,0,22,2008,5,Turkish Grand Prix,11-05-2008,13,10,9,58,5284721,0,Finished,122
Toyota,Toyota,2,58,14363,0,22,2008,5,Turkish Grand Prix,11-05-2008,1,8,10,58,5285795,0,Finished,0
Honda,Honda,2,58,7681,0,22,2008,5,Turkish Grand Prix,11-05-2008,15,13,11,57,,0,+1 Lap,3
McLaren,McLaren,2,58,97845,0,22,2008,5,Turkish Grand Prix,11-05-2008,1,2,12,57,,0,+1 Lap,185
Toyota,Toyota,2,58,14363,0,22,2008,5,Turkish Grand Prix,11-05-2008,0,15,13,57,,0,+1 Lap,0
Honda,Honda,2,58,7681,0,22,2008,5,Turkish Grand Prix,11-05-2008,11,12,14,57,,0,+1 Lap,3
Renault,Renault,2,58,38339,0,22,2008,5,Turkish Grand Prix,11-05-2008,0,17,15,57,,0,+1 Lap,35
Force India,Force India,2,58,22035,0,22,2008,5,Turkish Grand Prix,11-05-2008,0,19,16,57,,0,+1 Lap,0
Toro Rosso,Toro Rosso,2,58,26973,0,22,2008,5,Turkish Grand Prix,11-05-2008,53,14,17,57,,0,+1 Lap,1
Toro Rosso,Toro Rosso,2,58,26973,0,22,2008,5,Turkish Grand Prix,11-05-2008,0,18,18,24,,0,Suspension,1
Williams,Williams,2,58,85881,0,22,2008,5,Turkish Grand Prix,11-05-2008,0,16,19,1,,0,Collision,114
Force India,Force India,2,58,22035,0,22,2008,5,Turkish Grand Prix,11-05-2008,3,20,20,0,,0,Collision,0
McLaren,McLaren,2,76,97845,10,23,2008,6,Monaco Grand Prix,25-05-2008,105,3,1,76,7242742,0,Finished,185
BMW Sauber,BMW Sauber,2,76,7938,8,23,2008,6,Monaco Grand Prix,25-05-2008,1,5,2,76,7245806,0,Finished,1
Ferrari,Ferrari,2,76,126025,6,23,2008,6,Monaco Grand Prix,25-05-2008,11,1,3,76,7247553,0,Finished,249
Red Bull,Red Bull,2,76,42076,5,23,2008,6,Monaco Grand Prix,25-05-2008,9,9,4,76,7262037,0,Finished,122
Toro Rosso,Toro Rosso,2,76,26973,4,23,2008,6,Monaco Grand Prix,25-05-2008,53,19,5,76,7267399,0,Finished,1
Honda,Honda,2,76,7681,3,23,2008,6,Monaco Grand Prix,25-05-2008,11,14,6,76,7271150,0,Finished,3
Williams,Williams,2,76,85881,2,23,2008,6,Monaco Grand Prix,25-05-2008,0,13,7,76,7272922,0,Finished,114
McLaren,McLaren,2,76,97845,1,23,2008,6,Monaco Grand Prix,25-05-2008,1,4,8,76,7275933,0,Finished,185
Ferrari,Ferrari,2,76,126025,0,23,2008,6,Monaco Grand Prix,25-05-2008,21,2,9,76,7276534,0,Finished,249
Renault,Renault,2,76,38339,0,23,2008,6,Monaco Grand Prix,25-05-2008,32,7,10,75,,0,+1 Lap,35
Honda,Honda,2,76,7681,0,23,2008,6,Monaco Grand Prix,25-05-2008,15,11,11,75,,0,+1 Lap,3
Toyota,Toyota,2,76,14363,0,23,2008,6,Monaco Grand Prix,25-05-2008,0,10,12,75,,0,+1 Lap,0
Toyota,Toyota,2,76,14363,0,23,2008,6,Monaco Grand Prix,25-05-2008,1,8,13,75,,0,+1 Lap,0
BMW Sauber,BMW Sauber,2,76,7938,0,23,2008,6,Monaco Grand Prix,25-05-2008,0,12,14,72,,0,+4 Laps,1
Force India,Force India,2,76,22035,0,23,2008,6,Monaco Grand Prix,25-05-2008,0,18,15,67,,0,Collision,0
Williams,Williams,2,76,85881,0,23,2008,6,Monaco Grand Prix,25-05-2008,23,6,16,59,,0,Accident,114
Renault,Renault,2,76,38339,0,23,2008,6,Monaco Grand Prix,25-05-2008,0,17,17,47,,0,Accident,35
Force India,Force India,2,76,22035,0,23,2008,6,Monaco Grand Prix,25-05-2008,3,20,18,36,,0,Gearbox,0
Red Bull,Red Bull,2,76,42076,0,23,2008,6,Monaco Grand Prix,25-05-2008,13,15,19,7,,0,Accident,122
Toro Rosso,Toro Rosso,2,76,26973,0,23,2008,6,Monaco Grand Prix,25-05-2008,0,16,20,7,,0,Collision,1
BMW Sauber,BMW Sauber,2,70,7938,10,24,2008,7,Canadian Grand Prix,08-06-2008,1,2,1,70,5784227,0,Finished,1
BMW Sauber,BMW Sauber,2,70,7938,8,24,2008,7,Canadian Grand Prix,08-06-2008,0,8,2,70,5800722,0,Finished,1
Red Bull,Red Bull,2,70,42076,6,24,2008,7,Canadian Grand Prix,08-06-2008,13,13,3,70,5807579,0,Finished,122
Toyota,Toyota,2,70,14363,5,24,2008,7,Canadian Grand Prix,08-06-2008,0,11,4,70,5826854,0,Finished,0
Ferrari,Ferrari,2,70,126025,4,24,2008,7,Canadian Grand Prix,08-06-2008,11,6,5,70,5828161,0,Finished,249
Toyota,Toyota,2,70,14363,3,24,2008,7,Canadian Grand Prix,08-06-2008,1,14,6,70,5832002,0,Finished,0
Honda,Honda,2,70,7681,2,24,2008,7,Canadian Grand Prix,08-06-2008,11,9,7,70,5837824,0,Finished,3
Toro Rosso,Toro Rosso,2,70,26973,1,24,2008,7,Canadian Grand Prix,08-06-2008,53,19,8,70,5838347,0,Finished,1
McLaren,McLaren,2,70,97845,0,24,2008,7,Canadian Grand Prix,08-06-2008,1,7,9,70,5838660,0,Finished,185
Williams,Williams,2,70,85881,0,24,2008,7,Canadian Grand Prix,08-06-2008,23,5,10,70,5838976,0,Finished,114
Honda,Honda,2,70,7681,0,24,2008,7,Canadian Grand Prix,08-06-2008,15,20,11,70,5851767,0,Finished,3
Red Bull,Red Bull,2,70,42076,0,24,2008,7,Canadian Grand Prix,08-06-2008,9,10,12,70,5855526,0,Finished,122
Toro Rosso,Toro Rosso,2,70,26973,0,24,2008,7,Canadian Grand Prix,08-06-2008,0,18,13,69,,0,+1 Lap,1
Force India,Force India,2,70,22035,0,24,2008,7,Canadian Grand Prix,08-06-2008,3,17,14,51,,0,Spun off,0
Williams,Williams,2,70,85881,0,24,2008,7,Canadian Grand Prix,08-06-2008,0,12,15,46,,0,Accident,114
Renault,Renault,2,70,38339,0,24,2008,7,Canadian Grand Prix,08-06-2008,32,4,16,44,,0,Spun off,35
Renault,Renault,2,70,38339,0,24,2008,7,Canadian Grand Prix,08-06-2008,0,15,17,43,,0,Brakes,35
Ferrari,Ferrari,2,70,126025,0,24,2008,7,Canadian Grand Prix,08-06-2008,21,3,18,19,,0,Collision,249
McLaren,McLaren,2,70,97845,0,24,2008,7,Canadian Grand Prix,08-06-2008,105,1,19,19,,0,Collision,185
Force India,Force India,2,70,22035,0,24,2008,7,Canadian Grand Prix,08-06-2008,0,16,20,13,,0,Gearbox,0
Ferrari,Ferrari,2,70,126025,10,25,2008,8,French Grand Prix,22-06-2008,11,2,1,70,5510245,0,Finished,249
Ferrari,Ferrari,2,70,126025,8,25,2008,8,French Grand Prix,22-06-2008,21,1,2,70,5528229,0,Finished,249
Toyota,Toyota,2,70,14363,6,25,2008,8,French Grand Prix,22-06-2008,1,4,3,70,5538495,0,Finished,0
McLaren,McLaren,2,70,97845,5,25,2008,8,French Grand Prix,22-06-2008,1,10,4,70,5539174,0,Finished,185
BMW Sauber,BMW Sauber,2,70,7938,4,25,2008,8,French Grand Prix,22-06-2008,1,5,5,70,5540757,0,Finished,1
Red Bull,Red Bull,2,70,42076,3,25,2008,8,French Grand Prix,22-06-2008,9,6,6,70,5550549,0,Finished,122
Renault,Renault,2,70,38339,2,25,2008,8,French Grand Prix,22-06-2008,0,9,7,70,5551278,0,Finished,35
Renault,Renault,2,70,38339,1,25,2008,8,French Grand Prix,22-06-2008,32,3,8,70,5553617,0,Finished,35
Red Bull,Red Bull,2,70,42076,0,25,2008,8,French Grand Prix,22-06-2008,13,7,9,70,5561266,0,Finished,122
McLaren,McLaren,2,70,97845,0,25,2008,8,French Grand Prix,22-06-2008,105,13,10,70,5564783,0,Finished,185
Toyota,Toyota,2,70,14363,0,25,2008,8,French Grand Prix,22-06-2008,0,8,11,70,5567945,0,Finished,0
Toro Rosso,Toro Rosso,2,70,26973,0,25,2008,8,French Grand Prix,22-06-2008,53,12,12,70,5568310,0,Finished,1
BMW Sauber,BMW Sauber,2,70,7938,0,25,2008,8,French Grand Prix,22-06-2008,0,11,13,70,5572324,0,Finished,1
Honda,Honda,2,70,7681,0,25,2008,8,French Grand Prix,22-06-2008,11,20,14,69,,0,+1 Lap,3
Williams,Williams,2,70,85881,0,25,2008,8,French Grand Prix,22-06-2008,0,15,15,69,,0,+1 Lap,114
Williams,Williams,2,70,85881,0,25,2008,8,French Grand Prix,22-06-2008,23,19,16,69,,0,+1 Lap,114
Toro Rosso,Toro Rosso,2,70,26973,0,25,2008,8,French Grand Prix,22-06-2008,0,14,17,69,,0,+1 Lap,1
Force India,Force India,2,70,22035,0,25,2008,8,French Grand Prix,22-06-2008,3,17,18,69,,0,+1 Lap,0
Force India,Force India,2,70,22035,0,25,2008,8,French Grand Prix,22-06-2008,0,18,19,69,,0,+1 Lap,0
Honda,Honda,2,70,7681,0,25,2008,8,French Grand Prix,22-06-2008,15,16,20,16,,0,Collision,3
McLaren,McLaren,2,60,97845,10,26,2008,9,British Grand Prix,06-07-2008,105,4,1,60,5949440,0,Finished,185
BMW Sauber,BMW Sauber,2,60,7938,8,26,2008,9,British Grand Prix,06-07-2008,0,5,2,60,6018017,0,Finished,1
Honda,Honda,2,60,7681,6,26,2008,9,British Grand Prix,06-07-2008,11,16,3,60,6031713,0,Finished,3
Ferrari,Ferrari,2,60,126025,5,26,2008,9,British Grand Prix,06-07-2008,21,3,4,59,,0,+1 Lap,249
McLaren,McLaren,2,60,97845,4,26,2008,9,British Grand Prix,06-07-2008,1,1,5,59,,0,+1 Lap,185
Renault,Renault,2,60,38339,3,26,2008,9,British Grand Prix,06-07-2008,32,6,6,59,,0,+1 Lap,35
Toyota,Toyota,2,60,14363,2,26,2008,9,British Grand Prix,06-07-2008,1,14,7,59,,0,+1 Lap,0
Williams,Williams,2,60,85881,1,26,2008,9,British Grand Prix,06-07-2008,0,15,8,59,,0,+1 Lap,114
Williams,Williams,2,60,85881,0,26,2008,9,British Grand Prix,06-07-2008,23,20,9,59,,0,+1 Lap,114
Red Bull,Red Bull,2,60,42076,0,26,2008,9,British Grand Prix,06-07-2008,9,2,10,59,,0,+1 Lap,122
Toro Rosso,Toro Rosso,2,60,26973,0,26,2008,9,British Grand Prix,06-07-2008,0,13,11,59,,0,+1 Lap,1
Toyota,Toyota,2,60,14363,0,26,2008,9,British Grand Prix,06-07-2008,0,12,12,59,,0,+1 Lap,0
Ferrari,Ferrari,2,60,126025,0,26,2008,9,British Grand Prix,06-07-2008,11,9,13,58,,0,+2 Laps,249
BMW Sauber,BMW Sauber,2,60,7938,0,26,2008,9,British Grand Prix,06-07-2008,1,10,14,39,,0,Spun off,1
Honda,Honda,2,60,7681,0,26,2008,9,British Grand Prix,06-07-2008,15,17,15,38,,0,Spun off,3
Renault,Renault,2,60,38339,0,26,2008,9,British Grand Prix,06-07-2008,0,7,16,35,,0,Spun off,35
Force India,Force India,2,60,22035,0,26,2008,9,British Grand Prix,06-07-2008,3,19,17,16,,0,Spun off,0
Force India,Force India,2,60,22035,0,26,2008,9,British Grand Prix,06-07-2008,0,18,18,10,,0,Spun off,0
Toro Rosso,Toro Rosso,2,60,26973,0,26,2008,9,British Grand Prix,06-07-2008,53,8,19,0,,0,Collision,1
Red Bull,Red Bull,2,60,42076,0,26,2008,9,British Grand Prix,06-07-2008,13,11,20,0,,0,Collision,122
McLaren,McLaren,2,67,97845,10,27,2008,10,German Grand Prix,20-07-2008,105,1,1,67,5480874,0,Finished,185
Renault,Renault,2,67,38339,8,27,2008,10,German Grand Prix,20-07-2008,0,17,2,67,5486460,0,Finished,35
Ferrari,Ferrari,2,67,126025,6,27,2008,10,German Grand Prix,20-07-2008,11,2,3,67,5490213,0,Finished,249
BMW Sauber,BMW Sauber,2,67,7938,5,27,2008,10,German Grand Prix,20-07-2008,0,12,4,67,5490699,0,Finished,1
McLaren,McLaren,2,67,97845,4,27,2008,10,German Grand Prix,20-07-2008,1,3,5,67,5493285,0,Finished,185
Ferrari,Ferrari,2,67,126025,3,27,2008,10,German Grand Prix,20-07-2008,21,6,6,67,5495277,0,Finished,249
BMW Sauber,BMW Sauber,2,67,7938,2,27,2008,10,German Grand Prix,20-07-2008,1,7,7,67,5503556,0,Finished,1
Toro Rosso,Toro Rosso,2,67,26973,1,27,2008,10,German Grand Prix,20-07-2008,53,9,8,67,5514173,0,Finished,1
Toyota,Toyota,2,67,14363,0,27,2008,10,German Grand Prix,20-07-2008,1,4,9,67,5518032,0,Finished,0
Williams,Williams,2,67,85881,0,27,2008,10,German Grand Prix,20-07-2008,23,13,10,67,5518499,0,Finished,114
Renault,Renault,2,67,38339,0,27,2008,10,German Grand Prix,20-07-2008,32,5,11,67,5519474,0,Finished,35
Toro Rosso,Toro Rosso,2,67,26973,0,27,2008,10,German Grand Prix,20-07-2008,0,15,12,67,5519985,0,Finished,1
Red Bull,Red Bull,2,67,42076,0,27,2008,10,German Grand Prix,20-07-2008,13,10,13,67,5535845,0,Finished,122
Williams,Williams,2,67,85881,0,27,2008,10,German Grand Prix,20-07-2008,0,16,14,67,5540877,0,Finished,114
Force India,Force India,2,67,22035,0,27,2008,10,German Grand Prix,20-07-2008,0,19,15,67,5550362,0,Finished,0
Force India,Force India,2,67,22035,0,27,2008,10,German Grand Prix,20-07-2008,3,20,16,67,5564967,0,Finished,0
Honda,Honda,2,67,7681,0,27,2008,10,German Grand Prix,20-07-2008,15,14,17,66,,0,+1 Lap,3
Honda,Honda,2,67,7681,0,27,2008,10,German Grand Prix,20-07-2008,11,18,18,50,,0,Collision,3
Red Bull,Red Bull,2,67,42076,0,27,2008,10,German Grand Prix,20-07-2008,9,8,19,40,,0,Engine,122
Toyota,Toyota,2,67,14363,0,27,2008,10,German Grand Prix,20-07-2008,0,11,20,35,,0,Suspension,0
McLaren,McLaren,2,70,97845,10,28,2008,11,Hungarian Grand Prix,03-08-2008,1,2,1,70,5847067,0,Finished,185
Toyota,Toyota,2,70,14363,8,28,2008,11,Hungarian Grand Prix,03-08-2008,0,5,2,70,5858128,0,Finished,0
Ferrari,Ferrari,2,70,126025,6,28,2008,11,Hungarian Grand Prix,03-08-2008,21,6,3,70,5863923,0,Finished,249
Renault,Renault,2,70,38339,5,28,2008,11,Hungarian Grand Prix,03-08-2008,32,7,4,70,5868681,0,Finished,35
McLaren,McLaren,2,70,97845,4,28,2008,11,Hungarian Grand Prix,03-08-2008,105,1,5,70,5870115,0,Finished,185
Renault,Renault,2,70,38339,3,28,2008,11,Hungarian Grand Prix,03-08-2008,0,10,6,70,5879365,0,Finished,35
Toyota,Toyota,2,70,14363,2,28,2008,11,Hungarian Grand Prix,03-08-2008,1,9,7,70,5883516,0,Finished,0
BMW Sauber,BMW Sauber,2,70,7938,1,28,2008,11,Hungarian Grand Prix,03-08-2008,1,4,8,70,5895388,0,Finished,1
Red Bull,Red Bull,2,70,42076,0,28,2008,11,Hungarian Grand Prix,03-08-2008,9,8,9,70,5905901,0,Finished,122
